recipe_id,title,current_tags,proposed_additions,high_stakes_confirmed,required_swaps,conflicts,flagged_for_review,low_confidence,rationale,error
__meta__,Tags would be created in DB,,nut-free; no-bake; one-pot; grill-bbq; 5-ingredients; spicy,,,,,,,
1b3cbc71-b95c-4517-aae9-d0c815205047,Spinach & Artichoke Potato Casserole,kid-friendly; quick; vegetarian,nut-free; easy,nut-free,,"quick: Total time includes 10–12 minutes microwaving + cooling time + 10–15 minutes baking, plus mixing — conservatively exceeds 30 minutes when cooling and prep are included.; kid-friendly: No direct disqualifier found; dish is mild and cheesy. Tag appears appropriate and no conflict detected.",gluten-free: The 'Garlic Parmesan Seasoning' is a branded/proprietary blend whose full ingredient list is not provided; some seasoning blends contain maltodextrin or other wheat-derived fillers. Human review of the specific product label is recommended before confirming this tag.,,"nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients appear anywhere in the recipe.; easy: Fewer than 10 ingredients, basic steps (microwave potatoes, mix, bake), common pantry items; only slight complexity is the stand mixer equipment, but the technique itself is straightforward.",
837ddf98-3627-45fe-94af-be3bb277bf94,Cucumber Tea Sandwiches,,vegetarian; nut-free; no-bake; kid-friendly; holiday,vegetarian; nut-free,,,"make-ahead: The cucumber marinade can be prepared ahead, but the recipe explicitly warns to 'serve within an hour of assembling so bread does not get mushy,' meaning the finished dish cannot be fully made ahead without quality loss.; quick: Prep and assembly are fast, but the cucumber marinade requires a minimum of 20 minutes and up to 2 hours, making total time ambiguous relative to the ≤30-minute threshold.",,"vegetarian: All ingredients are plant-based or dairy — cream cheese, cucumber, radishes, herbs, lemon juice, bread — no meat, fish, or hidden animal-flesh ingredients present.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients in the recipe.; no-bake: Recipe requires no oven baking — assembly only with marinating, mixing, and spreading steps.; kid-friendly: Mild, familiar flavors — cream cheese, cucumber, bread — no spice, alcohol, or pungent ingredients; classic tea sandwich format.; holiday: Recipe notes explicitly state it has been made for 'multiple tea parties, baby showers, and bridal showers,' indicating a recognized celebratory/occasion dish.",
5963fbc1-e10d-47a7-b008-8287c25dda3b,Fillet of Beef on Bruschetta,,nut-free; easy; quick,nut-free,,,"make-ahead: Herb butter can be made ahead, but toasted baguette with beef and watercress does not hold well; partial make-ahead potential is ambiguous.",,"nut-free: No tree nuts or peanuts in any ingredient; herbs, butter, beef, and baguette only.; easy: Few ingredients, simple steps: food processor herb butter, broiler toast, assemble — basic techniques, no complex timing.; quick: Assembly dish using pre-cooked/store-bought beef; active prep and broiling is well under 30 minutes.",
256a7ecf-16c1-4f51-8252-1b0cf49ee7e9,Five Alls Restaurant Summer Dill Dip,,nut-free; easy; make-ahead; no-bake,nut-free,,,vegetarian: Worcestershire sauce typically contains anchovies; brand is unspecified. A vegetarian Worcestershire exists but cannot be assumed.; gluten-free: Worcestershire sauce may contain gluten depending on brand; brand is unspecified and cannot be confirmed gluten-free.,,"nut-free: No nuts, nut flours, nut oils, or nut-derived ingredients present in the recipe.; easy: Only 9 ingredients, single step of combining everything, no cooking technique required.; make-ahead: Instructions explicitly say 'Chill for flavors to blend,' indicating advance preparation improves the dish.; no-bake: No cooking or baking required; recipe is simply combined and chilled.",
36e86757-33b0-4fcf-95a8-e4ad0784fd77,Greek Dip,,vegetarian; gluten-free; nut-free; easy; make-ahead; no-bake; 5-ingredients,vegetarian; gluten-free; nut-free,,,,,"vegetarian: All ingredients are dairy/plant-based (cream cheese, feta, herbs, garlic, olive oil) with no meat, fish, or hidden animal-flesh ingredients.; gluten-free: All ingredients (cream cheese, feta, herbs, garlic, olive oil) are inherently gluten-free; serving suggestions include pita but the dip itself contains no gluten.; nut-free: No nuts, nut flours, nut butters, or nut-containing ingredients present.; easy: 5 core ingredients, single food-processor step, basic technique, no special equipment beyond a food processor.; make-ahead: Recipe explicitly instructs to refrigerate at least 2 hours and notes it is best served after resting; ideal for advance preparation.; no-bake: No cooking or baking required; dip is simply blended and chilled.; 5-ingredients: Core ingredients are cream cheese, feta, oregano, basil, and garlic — exactly 5, not counting olive oil (cooking oil) or the optional sundried tomatoes.",
e95d1ace-7902-4e83-9d68-ef8805fbdbb6,Guacamole,,vegetarian; vegan; dairy-free; gluten-free; nut-free; easy; quick; no-bake; one-pot; spicy,vegetarian; vegan; dairy-free; gluten-free; nut-free,,,,,"vegetarian: All core ingredients are plant-based; no meat, fish, or hidden animal-flesh ingredients present.; vegan: Core recipe contains only avocados, garlic, tomato, salt, cayenne, pepper, lime juice — all plant-based. Optional add-ins like cotija cheese and sour cream are clearly marked optional and not part of the base recipe.; dairy-free: Core recipe contains no dairy; cotija cheese and sour cream are explicitly optional and not part of the base dish.; gluten-free: All core ingredients are naturally gluten-free; no wheat, flour, soy sauce, or other gluten sources present.; nut-free: No tree nuts, peanuts, nut flours, or nut-derived ingredients in the recipe.; easy: Single step: peel, smash, stir. Fewer than 10 core ingredients, basic technique (smashing/mixing), no special equipment required.; quick: One-step preparation with no cook time; total prep time is well under 10 minutes.; no-bake: No oven or heat required; recipe is entirely prepared by smashing and mixing.; one-pot: All ingredients are combined in a single bowl; one-step mixing process.; spicy: Cayenne pepper is listed as a core ingredient; jalapeño and hot sauce are also listed as optional additions.",
774aa6c0-48c9-4d3f-ad15-51f82348c28f,Toll House Pie,,vegetarian; easy; kid-friendly,vegetarian,,,"nut-free: Recipe explicitly includes 1 cup chopped walnuts, disqualifying it from nut-free — flagged in case this tag is ever considered.",,"vegetarian: No meat, poultry, fish, or seafood; contains eggs and dairy (butter) which are permitted under vegetarian rules.; easy: Simple steps: beat eggs, mix dry ingredients, stir in butter/chips/nuts, pour into crust and bake. No advanced techniques, ~8 ingredients, straightforward process.; kid-friendly: Sweet chocolate chip and walnut pie — mild, familiar, dessert format appealing to children; no alcohol, no spicy or pungent ingredients.",
2cff31e2-866c-4437-92da-62017fa07cb2,Christmas Bruschetta,,vegetarian; nut-free; holiday; easy; quick,vegetarian; nut-free,,,"gluten-free: Baguette is the primary serving vessel and is a wheat-based bread — this disqualifies gluten-free unless replaced entirely, but as a defining structural ingredient it cannot simply be swapped out.",,"vegetarian: All ingredients are plant-based or dairy — butter, garlic, artichoke hearts, tomato, scallions, feta, parmesan, baguette — no meat, fish, or hidden animal-flesh ingredients.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients present in the recipe.; holiday: Recipe title explicitly states 'Christmas Bruschetta', tying it directly to a holiday.; easy: Fewer than 10 ingredients, single mixing step plus broiling, basic techniques (spreading, mixing, broiling), standard equipment only.; quick: Recipe involves only quick prep (chopping, mixing) and two short broiler steps — total time well under 30 minutes.",
1f6f19ae-fe43-46b5-83af-d083281086cf,Hummus with Tahini,,vegetarian; vegan; dairy-free; gluten-free; nut-free; easy; make-ahead; no-bake; spicy,vegetarian; vegan; dairy-free; gluten-free; nut-free,,,,,"vegetarian: All ingredients are plant-based; no meat, fish, poultry, or animal-flesh derivatives present.; vegan: All ingredients are plant-based; no dairy, eggs, honey, or other animal products present.; dairy-free: No milk, butter, cheese, cream, or any dairy products in the ingredient list.; gluten-free: All ingredients (chickpeas, tahini, lemon juice, garlic, olive oil, cumin, cayenne, salt, water) are naturally gluten-free with no hidden gluten sources.; nut-free: No tree nuts or peanuts present; tahini is sesame-based, not a nut product.; easy: Fewer than 10 steps, basic blender technique, common pantry ingredients, no special equipment or complex techniques required.; make-ahead: Recipe explicitly instructs to refrigerate a few hours for flavors to meld before serving.; no-bake: Entire recipe is prepared in a blender with no oven or cooking required.; spicy: ½ tsp cayenne pepper is a notable heat-contributing ingredient.",
01653a1e-2969-4d22-ad08-8685d446499a,Lisa Ames’ Greek Dip,,vegetarian; nut-free; easy; quick; make-ahead; no-bake,vegetarian; nut-free,,,gluten-free: Cavendar's Greek Seasoning is a proprietary spice blend; gluten status depends on manufacturer formulation and may vary by lot — cook should confirm the label reads gluten-free before serving to celiac guests,,"vegetarian: All ingredients are dairy-based, plant-based, or spices — no meat, poultry, fish, shellfish, or hidden animal-flesh ingredients present; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-containing ingredients present; easy: Single food-processor blend, ~7 ingredients, no complex techniques — approachable for a novice; quick: Only step is blending all ingredients in a food processor; total time is well under 30 minutes; make-ahead: A blended cream cheese/feta dip stores well in the refrigerator without quality loss and is typical party prep-ahead food; no-bake: No oven or heat required; preparation is entirely by food processor blending",
e36b0f9c-7c7f-40a1-8ff3-39a8080765f1,Mahogany Chicken Wings,,dairy-free; nut-free; make-ahead; kid-friendly,dairy-free; nut-free,,,"gluten-free: Recipe calls for 'soy sauce,' which typically contains wheat. Gluten-free tamari could be substituted, but the recipe does not specify; requires human confirmation of which soy sauce to use.",,"dairy-free: No milk, butter, cheese, cream, or any dairy product in the ingredient list.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients present.; make-ahead: Instructions explicitly require refrigerating overnight in the marinade before baking.; kid-friendly: Mild, sweet-savory glazed chicken wings with no heat/spice; familiar finger-food format appealing to children.",
6b983304-34e4-4588-985d-3fb2191bfa3d,Sausage-Filled Mushrooms,,nut-free; easy,nut-free,,,"gluten-free: Jimmy Dean sausage rolls may contain wheat-based fillers or additives; the specific product's GF status cannot be confirmed without label verification, making this a potential celiac safety concern.; spicy: Heat level depends entirely on whether the cook chooses regular or spicy sausage; the recipe does not specify one over the other.",spicy (Recipe offers 'regular or spicy' sausage as an option; spiciness is conditional on cook's choice),"nut-free: No nuts, nut-derived ingredients, or nut oils present in the recipe; easy: Simple steps — sauté, mix, fill, bake — with basic equipment and common ingredients; under 7 steps",
